url,type,priority,topic
https://mintdentalmn.com/dental-services/,service,1,All dental services hub
https://mintdentalmn.com/dental-services/general-dentistry/,service,1,General dentistry / preventive care
https://mintdentalmn.com/dental-services/general-dentistry/nightguards/,service,1,Nightguards / teeth grinding
https://mintdentalmn.com/dental-services/general-dentistry/tmj-treatment/,service,1,TMJ treatment
https://mintdentalmn.com/dental-services/general-dentistry/root-canals/,service,1,Root canal treatment / endodontics
https://mintdentalmn.com/dental-services/general-dentistry/dental-fillings/,service,1,Dental fillings / cavities / tooth decay
https://mintdentalmn.com/dental-services/cosmetic-dentistry/,service,1,Cosmetic dentistry hub
https://mintdentalmn.com/dental-services/cosmetic-dentistry/porcelain-veneers/,service,1,Porcelain veneers
https://mintdentalmn.com/dental-services/cosmetic-dentistry/cosmetic-bonding/,service,1,Cosmetic / dental bonding
https://mintdentalmn.com/dental-services/cosmetic-dentistry/invisalign/,service,1,Invisalign clear aligners / orthodontics
https://mintdentalmn.com/dental-services/cosmetic-dentistry/teeth-whitening/,service,1,Teeth whitening
https://mintdentalmn.com/dental-services/restorative-dentistry/,service,1,Restorative dentistry hub
https://mintdentalmn.com/dental-services/restorative-dentistry/dental-implants/,service,1,Dental implants
https://mintdentalmn.com/dental-services/restorative-dentistry/tooth-extractions/,service,1,Tooth extractions
https://mintdentalmn.com/dental-services/restorative-dentistry/crowns-bridges/,service,1,Crowns and bridges
https://mintdentalmn.com/dental-services/restorative-dentistry/dentures/,service,1,Dentures
https://mintdentalmn.com/dental-services/restorative-dentistry/full-mouth-reconstruction/,service,1,Full mouth reconstruction
https://mintdentalmn.com/dental-services/family-dentistry/,service,1,Family dentistry / all ages
https://mintdentalmn.com/dental-services/emergency-care/,service,1,Emergency dental care
https://mintdentalmn.com/,homepage,2,Homepage - Edina dentist
https://mintdentalmn.com/about/,key,2,About Mint Dental
https://mintdentalmn.com/about/dr-marwa-gamam/,key,2,Dr. Marwa Gamam bio
https://mintdentalmn.com/about/edina/,key,2,Edina community / about
https://mintdentalmn.com/contact/,key,2,Contact
https://mintdentalmn.com/request-appointment/,key,2,Request an appointment
https://mintdentalmn.com/accepting-new-patients-mn/,key,2,Accepting new patients
https://mintdentalmn.com/dentist-edina-mn/,key,2,Edina dentist location page
https://mintdentalmn.com/dentistry-redefined/,key,2,Approach / philosophy
https://mintdentalmn.com/how-to-clean-invisalign-trays/,blog,3,How to clean Invisalign trays
https://mintdentalmn.com/invisalign-refinements/,blog,3,Invisalign refinements
https://mintdentalmn.com/am-i-too-old-for-invisalign/,blog,3,Am I too old for Invisalign
https://mintdentalmn.com/invisalign-specialist/,blog,3,Choosing an Invisalign specialist
https://mintdentalmn.com/different-types-of-dentures/,blog,3,Different types of dentures
https://mintdentalmn.com/temporary-veneers/,blog,3,Temporary veneers
https://mintdentalmn.com/explaining-the-differences-between-dentures-vs-dental-implants/,blog,3,Dentures vs dental implants
https://mintdentalmn.com/dental-bridge-vs-implant/,blog,3,Dental bridge vs implant
https://mintdentalmn.com/what-is-a-cavity/,blog,3,What is a cavity
https://mintdentalmn.com/pros-and-cons-of-no-prep-veneers/,blog,3,No-prep veneers pros and cons
https://mintdentalmn.com/dry-mouth-treatments-symptoms-and-causes/,blog,3,Dry mouth treatments symptoms causes
https://mintdentalmn.com/why-crowns-on-front-teeth-are-different/,blog,3,Crowns on front teeth
https://mintdentalmn.com/root-canal-retreatment/,blog,3,Root canal retreatment
https://mintdentalmn.com/healing-after-dental-implants-what-to-expect/,blog,3,Healing after dental implants
https://mintdentalmn.com/what-can-i-eat-after-dental-implant-surgery/,blog,3,Eating after implant surgery
https://mintdentalmn.com/tmj-self-care-exercises/,blog,3,TMJ self-care exercises
https://mintdentalmn.com/what-is-tartar-dental-calculus/,blog,3,What is tartar / dental calculus
https://mintdentalmn.com/all-pros-and-cons-of-dental-implants/,blog,3,Pros and cons of dental implants
https://mintdentalmn.com/dental-filling-restoration-expectation/,blog,3,Dental filling restoration expectation
https://mintdentalmn.com/byte-vs-invisalign/,blog,3,Byte vs Invisalign
https://mintdentalmn.com/guide-to-tmj-splint/,blog,3,Guide to TMJ splint
https://mintdentalmn.com/when-would-you-need-a-dental-crown/,blog,3,When would you need a dental crown
https://mintdentalmn.com/failed-root-canal-symptoms-how-to-recognize/,blog,3,Failed root canal symptoms
https://mintdentalmn.com/tooth-fillings-types-materials-and-possible-problems/,blog,3,Tooth fillings types and materials
https://mintdentalmn.com/are-veneers-permanent/,blog,3,Are veneers permanent
https://mintdentalmn.com/dental-implant-alternatives/,blog,3,Dental implant alternatives
https://mintdentalmn.com/what-should-i-do-if-i-break-or-chip-a-tooth-5-steps-to-protect-your-oral-health/,blog,3,Broken or chipped tooth steps
https://mintdentalmn.com/before-and-after-root-canal/,blog,3,Before and after root canal
https://mintdentalmn.com/what-are-dental-sealants/,blog,3,What are dental sealants
https://mintdentalmn.com/what-is-plaque/,blog,3,What is plaque
https://mintdentalmn.com/veneers-vs-implants/,blog,3,Veneers vs implants
https://mintdentalmn.com/veneers-vs-cosmetic-crowns-whats-the-difference/,blog,3,Veneers vs crowns
https://mintdentalmn.com/aftercare-for-dental-fillings/,blog,3,Aftercare for dental fillings
https://mintdentalmn.com/what-is-a-dental-bridge/,blog,3,What is a dental bridge
https://mintdentalmn.com/i-take-care-of-my-oral-health-why-does-my-breath-stink/,blog,3,Bad breath causes
https://mintdentalmn.com/step-by-step-dental-filling-procedure/,blog,3,Step by step dental filling procedure
https://mintdentalmn.com/teeth-bonding-vs-veneers/,blog,3,Teeth bonding vs veneers
https://mintdentalmn.com/types-of-tongue-diseases-oral-health/,blog,3,Types of tongue diseases
https://mintdentalmn.com/how-do-dental-implants-work/,blog,3,How do dental implants work
https://mintdentalmn.com/dental-sealants-the-real-pros-and-cons/,blog,3,Dental sealants pros and cons
https://mintdentalmn.com/cavity-vs-stain-differences-how-to-tell-and-treatments/,blog,3,Cavity vs stain
https://mintdentalmn.com/emergency-root-canal/,blog,3,Emergency root canal
https://mintdentalmn.com/bad-breath-after-wisdom-teeth-removal-what-to-do/,blog,3,Bad breath after wisdom teeth removal
https://mintdentalmn.com/the-5-factual-stages-of-periodontal-disease/,blog,3,Stages of periodontal disease
https://mintdentalmn.com/my-dental-filling-fell-out/,blog,3,My dental filling fell out
